id;banner_type;store_id;brand_id;position_type;position_code;picture_name;picture_url;link_type;link_address;banner_pop_setting;show_state;top;business_id
1;71178;82057;48632;75580;72825;monetize end-to-end Re-contextualized;Bedfordshire interfaces Integration;14341;JBOD Handmade Plastic Gloves;motivating Planner Landing;false;true;66142
2;52925;78818;47495;54735;77699;programming black;Investor Analyst;61131;Down-sized dynamic;PCI;false;true;7411
3;88824;81675;6582;14494;96482;digital Compatible software;Principal;65005;Rubber impactful;PCI sensor;true;true;70051
4;90991;27544;83573;77978;78951;Cordoba Oro;sky blue Business-focused mint green;94628;responsive;COM schemas Bacon;true;false;13468
5;93809;35697;24019;33189;10640;Cliff alarm New Mexico;generate Garden monitor;87935;deposit deposit repurpose;Pants;false;true;85473
6;98250;13846;95024;4950;20752;bottom-line Antigua and Barbuda bus;hierarchy Persevering;40738;Montana Dynamic Reverse-engineered;Internal Indonesia Sierra Leone;false;false;11789
7;26939;92709;41583;56673;58333;multi-state Ergonomic Small;intranet Albania;20071;Integration;Awesome;true;true;43922
8;47368;54084;85723;14318;59017;connect Pine;navigate Tuna CSS;21180;invoice;bluetooth Sleek;true;true;16889
9;36127;29253;15454;71324;64754;gold Ball online;Realigned Pizza;1845;Object-based index;payment calculate Distributed;false;false;54217
10;69119;90871;65267;15182;72034;Intelligent service-desk;AGP;83612;functionalities leverage;Auto Loan Account invoice;false;true;9823
