id;brand_name;brand_name_second;brand_country_id;brand_logo;trade_mark_registration_pic;certificate_valid_time;brand_desc;brand_auth_type;ower_of_attorney;check_status;check_failure_reasons;check_time
1;Proactive Home Loan Account parse;Designer virtual Internal;30266;aggregate Concrete;Soft;2020-05-14T07:11:37;Generic;11627;Business-focused cyan;true;invoice;2020-05-14T02:53:29
2;Movies;Response West Virginia;91697;Soft redundant Shoes;Technician;2020-05-14T11:29:07;Lake card Licensed;7707;Product;false;Electronics;2020-05-13T21:28:38
3;challenge Clothing;Radial;87292;pink Developer Michigan;User-centric;2020-05-13T15:41:58;hack online;95405;Fantastic California;false;Gorgeous Cotton Chips Gloves sky blue;2020-05-14T08:20:10
4;bifurcated Legacy;Tasty Guyana Dollar applications;23268;Gloves;Garden Swiss Franc;2020-05-13T21:04:19;Borders bypassing Illinois;6997;Illinois actuating Handcrafted;false;Designer Configuration application;2020-05-14T05:24:18
5;GB;fuchsia;16317;plug-and-play;Central next generation Home Loan Account;2020-05-13T16:30:19;Response Wooden Manager;30464;New Hampshire;false;Bike initiatives Computer;2020-05-13T22:38:44
6;compressing Brand applications;Computer;7502;Auto Loan Account Quality;architectures;2020-05-14T10:28:20;alarm;15832;Hill;true;Stream;2020-05-13T23:29:54
7;solutions;Fantastic Plastic Soap Tasty Fresh Soap;84654;Hawaii Ergonomic Station;HDD vertical;2020-05-14T11:14:51;embrace Fields;33868;microchip Malawi;true;Solutions Brazil;2020-05-14T13:09:51
8;Rubber orange Croatia;success Towels infrastructure;78491;local area network Intelligent olive;compress;2020-05-13T14:26:35;payment;24652;turquoise Computers Senior;false;web-enabled;2020-05-13T15:22:34
9;Auto Loan Account Avon;generating;22834;copying synthesizing;dynamic Saint Helena;2020-05-14T02:17:24;synthesizing Borders;12288;Montana;false;Borders redundant Western Sahara;2020-05-13T18:55:31
10;Idaho multi-byte;overriding Associate North Dakota;14771;Cove array;Sri Lanka Rupee;2020-05-13T22:59:03;New York Netherlands Antillian Guilder Concrete;51145;Principal Guinea Franc Electronics;true;Refined Frozen Salad calculating Sleek Frozen Chicken;2020-05-14T03:32:08
