id;store_id;brand_id;sales_model;goods_name;goods_desc;spu_no;category_id;freight;goods_details;proposer;application_time;check_status;check_failure_reasons;check_time;goods_pic;delete_flag;sale_state
1;45184;3751;86149;green Persevering Intelligent Rubber Salad;Finland Hat;bluetooth Colorado;69851;18830;ADP;66859;2020-05-16T13:11:38;false;Car Practical back-end;2020-05-16T14:12:49;reinvent;true;true
2;70567;28604;14540;AGP Corporate Money Market Account;Consultant middleware Refined Metal Soap;Tools wireless Distributed;69398;58958;Direct Utah plum;76472;2020-05-16T15:15:30;false;Romania collaboration;2020-05-16T17:52:57;extranet system;true;false
3;91190;4161;18632;wireless Sleek incentivize;North Korean Won;plum Money Market Account;50679;47510;Practical Rubber Bacon Cheese Direct;20619;2020-05-17T08:48:13;false;Money Market Account Cambridgeshire redundant;2020-05-16T11:41:34;Markets Florida;false;false
4;16310;36123;14969;Lead neural;system national;SMTP;35316;83423;functionalities one-to-one;51191;2020-05-17T03:45:13;true;Nebraska Pitcairn Islands Bedfordshire;2020-05-16T21:55:55;Web Visionary Internal;false;false
5;725;26180;25161;input Digitized;synthesizing JSON;Infrastructure;16859;56900;Chad e-business Metal;83638;2020-05-16T12:54:54;false;Ergonomic Cotton Salad;2020-05-17T05:05:26;toolset;true;false
6;27244;46473;37899;deposit proactive;value-added array virtual;cross-media invoice;16843;84547;Right-sized reboot 3rd generation;20197;2020-05-17T10:32:53;false;Marketing New York Liaison;2020-05-16T21:25:39;Persistent benchmark;false;false
7;5466;93069;30457;Synergistic frame solid state;Baby Home Libyan Dinar;cross-platform;8457;46152;Organic relationships;8443;2020-05-17T09:31:24;true;Credit Card Account parse port;2020-05-16T15:31:16;monitor programming Tuna;true;false
8;42824;25250;9974;Baby;SAS;customized Awesome Music;40394;80561;Investment Account;17707;2020-05-16T18:28:53;true;overriding initiatives;2020-05-16T15:08:19;schemas composite auxiliary;true;true
9;50949;3790;48500;visionary;Re-engineered;gold withdrawal TCP;31042;29382;Surinam Dollar invoice;15616;2020-05-16T16:50:26;false;evolve infrastructure;2020-05-17T09:50:24;background impactful;false;true
10;23087;26859;79693;Global;hard drive asymmetric;mint green Borders;49742;44831;Fully-configurable multi-tasking;70675;2020-05-17T04:34:34;true;Visionary;2020-05-16T13:16:53;orchid Shirt;false;true
