id;position_one;position_two;position_three;division_name;top
1;Poland;red Rand Namibia Dollar Handcrafted;lavender Jamaica Switchable;Computer;false
2;PCI Rustic Cotton Computer;Bike Dominican Republic;SQL;Coordinator program Director;false
3;Sports HDD parse;District;Corporate metrics Palestinian Territory;Optimization;true
4;paradigms quantify;1080p Hat;Savings Account Generic Plastic Chicken;Quality red;true
5;Plastic Intelligent payment;back up;Industrial bypass Accounts;District protocol Hat;false
6;deposit sensor Moroccan Dirham;Compatible transitional;Senior encryption Lilangeni;technologies virtual;true
7;white Dynamic Tasty Granite Bacon;Integration Agent;payment Tanzanian Shilling navigating;Self-enabling blue Intelligent;true
8;Kina;Puerto Rico e-services Mills;Executive synergies;Administrator exploit 24/7;true
9;backing up;Zimbabwe Dollar Re-contextualized gold;workforce Nebraska;Plastic COM Bedfordshire;true
10;Clothing;JBOD copy withdrawal;Bolivar Fuerte auxiliary;frame Frozen;false
